CODE,PANJANG_CM,LEBAR_CM,TINGGI_CM,VOLUME,MAX_WEIGHT,DETAILS
50PBCB01,10,6,4,240,480,Plastic Business Card Box
10UKPIP01,16,11,2,352,704,PIP1 - White - Diecut 0427 - Large Letter
10UKSW000,8,8,8,512,1024,Small Parcel
10UKPB01,15,6,6,540,1080,PB1 - White - Diecut 0427 - Small Parcel
10UKPIP02,23,16,2,736,1472,PIP2 - White - Diecut 0427 - Large Letter
10UKPB02,14,13,5,910,1820,PB2 - White - Diecut 0427 - Small Parcel
10RMADIL08,16,13,5,1040,2080,EF1 - White - Diecut 0427 - Small Parcel
10UKPB04,20,12,5,1200,2400,PB4 - White - Diecut 0427 - Small Parcel
10UKPB03,13,11,9,1287,2574,PB3 - White - Diecut 0427 - Small Parcel
10UKSW001,11,11,11,1331,2662,Small Parcel
50PCSB01,22,11,6,1452,2904,Plastic Compliment Slip Box 1/3
10UKPIP03,33,23,2,1518,3036,PIP3 - White - Diecut 0427 - Large Letter
50CSB01,22,11,7,1694,3388,1/3 A4 Comp Slip - Brown - Solid Board
50CSW01,22,11,7,1694,3388,1/3 A4 Comp Slip - White - Solid Board
10BW01,25,17,4,1700,3400,C5 - Small Book Wrap - Brown - Small Parcel
10RMADIL06,23,15,5,1725,3450,EF3 - White - Diecut 0427 - Small Parcel
10UKSW002,13,13,13,2197,4394,Small Parcel
10UKSB002,22,17,6,2244,4488,A5 Ream - Brown - Solid Board
10UKSB002A,22,17,6,2244,4488,A5 Ream - White - Solid Board
10UKPB05,25,21,5,2625,5250,PB5 - White - Diecut 0427 - Small Parcel
10BW02,31,22,4,2728,5456,A4 - Medium Book Wrap - Brown - Small Parcel
10UKSW156,18,13,13,3042,6084,Small Parcel
10UKSW005,21,16,11,3696,7392,Small Parcel
10UKPB06,27,18,8,3888,7776,PB6 - White - Diecut 0427 - Small Parcel
10UKPLAS001,31,22,6,4092,8184,Plastic A4 Ream Box
10UKSW003,16,16,16,4096,8192,Small Parcel
10BW03,34,26,5,4420,8840,C4 - Large Book Wrap - Brown - Small Parcel
10UKSB001,31,23,7,4991,9982,A4 Ream - Brown - Solid Board
10UKSB001A,31,23,7,4991,9982,A4 Ream - White - Solid Board
10UKSW006,21,16,16,5376,10752,Small Parcel
10UKPB08,42,26,5,5460,10920,PB8 - White - Diecut 0427 - Small Parcel
10UKDW302,31,23,8,5704,11408,A4 - Small Parcel
10UKSW009,31,23,8,5704,11408,A4 - Small Parcel
10UKSW153,18,18,18,5832,11664,Medium Parcel
10UKDW185,23,16,16,5888,11776,A5 - Medium Parcel
10UKSW010,23,16,16,5888,11776,A5 - Small Parcel
10SMPARCEL02,35,25,8,7000,14000,SP2 - White - Diecut 0427 - Small Parcel
10SMPARCEL02/BRN,35,25,8,7000,14000,SP2 - Brown - Diecut 0427 - Small Parcel
10UKPB07,30,24,10,7200,14400,PB7 - White - Diecut 0427 - Small Parcel
10UKSW026,27,25,11,7425,14850,White Box - Small Parcel
10UKSWPLC02,25,25,12,7500,15000,Small Parcel
10UKSW151,31,23,11,7843,15686,A4 - Small Parcel
10UKPB09,36,28,8,8064,16128,PB9 - White - Diecut 0427 - Small Parcel
10UKSB000X,44,31,6,8184,16368,A3 Ream - Brown - Solid Board
10BW04,46,31,6,8556,17112,A3 - Ex-Large Book Wrap - Brown - Medium Parcel
10UKSW152,26,21,16,8736,17472,Small Parcel
10UKSW004,21,21,21,9261,18522,Medium Parcel
10UKDW001,31,23,13,9269,18538,A4 - Small Parcel
10UKSW133X,31,23,13,9269,18538,A4 - Small Parcel
10UKSWPLC01,35,25,12,10500,21000,C4 - Small Parcel
10UKDW220,31,23,16,11408,22816,A4 - Medium Parcel
10UKSW012,31,23,16,11408,22816,A4 - Small Parcel
10UKSW303,46,31,8,11408,22816,A3 - Medium Parcel
10SMPARCEL01,42,34,8,11424,22848,SP1 - White - Diecut 0427 - Small Parcel
10UKSW007,23,23,23,12167,24334,Medium Parcel
10UKSW063,31,23,18,12834,25668,A4 - Medium Parcel
10UKSW018,44,27,13,15444,30888,Small Parcel
10UKDW002,31,23,23,16399,32798,A4 - Medium Parcel
10UKSW013/KFT,31,23,23,16399,32798,A4 - Medium Parcel
10RMADIL01,11,12,125,16500,33000,5 Panel Wrap - Golf Club Box
10UKSW302,46,31,12,17112,34224,A3 - Medium Parcel
10UKDW180,26,26,26,17576,35152,Medium Parcel
10UKSW157,26,26,26,17576,35152,Medium Parcel
10UKSW301,46,31,14,19964,39928,A3 - Medium Parcel
10UKSW014,31,23,31,22103,44206,A4 - Medium Parcel
10UKDW301,46,31,16,22816,45632,A3 - Medium Parcel
10UKSW159,36,28,23,23184,46368,Medium Parcel
10UKSW271,40,30,20,24000,48000,BDCM4 Blue Print - Medium Parcel **
10UKDW305,46,31,18,25668,51336,A3 - Medium Parcel
10UKDW305,46,31,18,25668,51336,Book Pack 1 - Pack 6 - 2 cube - Double Wall
10UKSW258X,46,31,18,25668,51336,A3 Vari Depth - Medium Parcel *
10UKSW258X-NS,46,31,18,25668,51336,NO SCORES - Medium Parcel
10UKDW307,37,28,25,25900,51800,Medium Parcel
10UKSW015,33,26,32,27456,54912,C4 - Medium Parcel
10UKDW028,36,26,31,29016,58032,Medium Parcel
10UKDW181,31,31,31,29791,59582,Medium Parcel
10UKSW158,31,31,31,29791,59582,Medium Parcel
10UKSW270,60,30,19,34200,68400,BDCM3 Blue Print - Medium Parcel **
10UKDW004,46,31,26,37076,74152,A3 - Medium Parcel *
10UKSW022,46,31,26,37076,74152,A3 - Medium Parcel
10UKSW116,41,28,36,41328,82656,BDC2 Brown Print - Medium Parcel **
10UKDW005,46,31,31,44206,88412,A3 - Variable Depth - Medium Parcel * †
10UKSW160,46,31,31,44206,88412,A3 - Medium Parcel
10UKDW254,36,36,36,46656,93312,Medium Parcel
10ARCHIVE01,47,36,28,47376,94752,Brown - One Piece with Integral Lid
10UKSW268,40,30,40,48000,96000,BDCM2 Blue Print - Medium Parcel **
10UKDW309,49,33,33,53361,106722,Removals
10UKSW306,49,35,35,60025,120050,Removals
10UKSW115,61,28,36,61488,122976,BDC1 - Black Print**
10FASHION03,59,29,37,63307,126614,S1 - Medium Parcel ††††
10FASHION05,59,29,37,63307,126614,SLW1 - Medium Parcel ††††
10FASHION04,56,33,35,64680,129360,BGA - Medium Parcel ††††
10VICEAL01,59,29,38,65018,130036,BDCM1 – Blue Print – Double Wall Box
10UKDW006,46,46,31,65596,131192,Removals Box - Printed Arrows * 
10UKDW044,41,41,41,68921,137842,Medium Parcel
10UKSW246,60,30,39,70200,140400,BDCM1 Blue Print - Medium Parcel **
10FASHION02,57,36,37,75924,151848,FP4 - Medium Parcel ††††
10FAITHF01,58,37,37,79402,158804,Medium Parcel
10UKDW009,59,39,35,80535,161070,JJ - Medium Parcel
10UKDW007,51,51,31,80631,161262,Standard Carton
10UKDW310,58,38,39,85956,171912,Removals
10WCHB002,51,16,109,88944,177888,"Printed 1 Colour Black, includes Hanging Bar"
10UKVDC01,46,46,46,97336,194672,Variable Depth ** ††
10UKDW304,57,43,43,105393,210786,Medium Parcel
10UKDW187,56,41,46,105616,211232,
10PREMIER02,46,46,51,107916,215832,Removals Box - Printed Arrows †† 
10UKDW012,77,46,31,109802,219604,Standard Carton
10PREMIER04,92,46,26,110032,220064,Removals Box †††
10FASHION01,57,36,56,114912,229824,FP6 - BDC Box / Fashion / Retail
10UKDWHD002,49,41,61,122549,245098,Removals - Heavy Duty
10BAKERR03,61,26,79,125294,250588,Variable Depth ‡‡
10UKDW311,61,46,46,129076,258152,Heavy Duty - Hand Holes
10UKVDC02,61,46,46,129076,258152,A2 - Variable Depth **
10UKDW128,51,51,51,132651,265302,Standard Carton
10UKDW015,57,51,56,162792,325584,Printed Fragile and This Way up Arrows
10VAU08,46,46,77,162932,325864,Removals Box - Printed Arrows *** 
10UKDW010,77,46,46,162932,325864,Variable Depth **
10UKDW183,77,46,46,162932,325864,Stitched
10UKSW057,64,48,57,175104,350208,
10UKDW011,77,51,51,200277,400554,Standard Carton
10UKDWHD001,60,60,60,216000,432000,Removals - Heavy Duty
10UKDW014,61,61,61,226981,453962,Variable Depth 
10WCHB010,51,46,102,239292,478584,"Printed 1 Colour Black, includes Hanging Bar"
10UKDWHD003,73,58,64,270976,541952,Removals - Heavy Duty
10WCHB001,51,46,122,286212,572424,"Printed 1 Colour Black, includes Hanging Bar"
12PALLB001,77,57,66,289674,579348,"1/2 EUROPA - Heat Treated Pallet - Cap, Tray & Sleeve"
10WCHB009,51,46,125,293250,586500,"Printed 1 Colour Black, includes Hanging Bar"
10UKDWHD004,87,56,69,336168,672336,Removals - Heavy Duty
10VAU16,89,77,51,349503,699006,Export Grade
10UKDWHD005,97,61,69,408273,816546,Removals - Heavy Duty
10VAU47,77,77,77,456533,913066,Export Grade
12PALLB003,108,87,55,516780,1033560,"1/2 CONTAINER - Heat Treated Pallet - Cap, Tray & Sleeve"
12PALLB002,117,77,66,594594,1189188,"1/1 EUROPA - Heat Treated Pallet - Cap, Tray & Sleeve"
10UKDW255,120,80,80,768000,1536000,Variable Depth ****
10VAU02,92,92,92,778688,1557376,Export Grade
12PALLB004,108,87,90,845640,1691280,"1/1 CONTAINER - Heat Treated Pallet - Cap, Tray & Sleeve"